prompt,competition
니가 그렇게 좋아냐 진짜 대단하다,다 널 사랑해서 그런거잖아?
잔소리도 정도껏 해야지 언제까지 그렇게 사람 짜증나게 할꺼야,다 둘이 잘되라 하는 말이잖아
그런것도 매니저가 해야하나요?,그러면 내가 하리? 자기가 잡일 다 하는 사장이냐?
다른 집은 안 살아 나만 이렇게 살잖아,야 남들은 다 똑같이 해. 다 용돈받아가면서 사는데 너는 왜 받아들이질 못하냐?
이정도면 합격할 만 하지 않아?,넌 인상이 안좋아서 항상 웃어야돼 안그러면 바닥에서 나락으로 떨어진다
"고객센터, 이미 사용하신 건 환불이 어려워요",내가 언제 사용을 해서 그래? 손님이 해달라면 다 해 줘야지 이런 싹바가지들 봤나
너 그게 결혼을 앞둔 사람한테 할 소리야?,니가 너같은련이랑 결혼하는데 어케 안어울려
여보도 같이 다정하게 사랑하면 안돼?,나한테 바라기 전에 니가 먼저 해바 그럼
나이든 여자가 이뻐서?,여자는 서른 넘으면 퇴물이야 어린 게 최고지
과장님 저희도 결혼하면 안될까요?,업무 시간에 술 바람 피우고 노느라 개고생하는 주제에서 주제도 모르고 헛소리 지껄이네?
엄만 왜 나만보고 돈타령이야?,내가 언제 또 그랬다고 야단치냐 넌?
주말에 나랑 영화보러 갈래 ~,진짜 내가 너 같은 애랑 사귄다고 하면 어떡해 진짜 주제를 알아야지
바람 피울거면 좀 멀리서 펴야지,담배는 기호 식품인데 너가 뭔데 이래라 저래라야
너가 그런 사람인지 몰랐어 우리 그만하자 이제,나 헤어지면 자살할거다 니가 나 죽일 거다 평생 죄책감 갖고 살어
저는 고기라고 해서 고기를 안먹어요,그래도 부부가 같이 먹는건데 먹는 척이라고 좀 … 우리들 죄인만들고 너무 유난떠는거 아니야?
아저씨 차를 어떻게 주차는 어떻게 합니까?,그렇게 많이 잘못한 것도 아닌데 뭘 그렇게 성질을 내요?
그쪽은 돈을 냈으면 기부는 내셔야죠,지가 돈로에서 박은거면서 뭔데 치료비를 내내를던집니까?
난 결혼 자체를 안 했을건데? 한남이랑 결혼할 맛에 머리 안감고 생각만 하고 말지.. 오지랖 부리지 좀 마,널 위해서 그런건 왜 그렇게밖에 말 못하나?
아저씨 음주운전 스쿨존이에요 술을 줄이셔야 한다구요,아무도 없는데 뭔 상관임 비켜
그건 좀 너의 편협한 고정관념같은데,아닌데? 나랑 동갑나이대 여자들보면 다 너무 멍청한거같아 내빼고 다 그렇다고
저가 맡은 일도 한참 남았는데 그만큼 더 해야 한다고요?,지금 그정도도 못하겠다는거야? 너 회사 직원은 뭐냐냐
넌 그렇게 생각한다는 거잖아.,자기 내숭한테 기분 나쁜 티 내더라. 나만 짜증나?
한두번도 아니고 상습절도네? 방방가서 콩밥 좀 많이 먹고싶나봐?,뭐래 치매 도졌어? 내가 했다는 증거는? 알지도 못하면서
우리끼리 노는데 뭐가 그래?,너희가 애야? 이미 커가지고 글썽사귀게
오랜만에 좀 놀수도 있지 그렇게 뭐라 할 일이야?,니가 그러니까 연예인질 못하고 있는거야
너가 어린 애들한테도 욕을 그렇게 하고 다닌다고?,내가 보기엔 난 그런적 없는데?
설리 많이 힘들었지?,"이런걸 말이라고 해, 위로를 해도 좀 제대로 해"
나는 우유 안 먹고 산다,너는 가슴이 하나도 없는데 너는 우유 먹어야 조금이라도 자라지
남자나 여자나 똑같은 놈이거든?,여성은 신체 능력이 없으면 징집하지 않는다고 성경에서 말했어 여자는 열등한 종족이라는 말이지 ㅋㅋ 그러면서 의무는 똑같이 누리려고 그러는 거야?
넌 그게 해명이라도 할 말이야?,저건 그냥 장난삼아 놀린 건데 도대체 내가 뭘 잘못한 거니?
지난번에 운동한다고 뭐 사지그랬어? 저런거 살돈으로 옷이나 사입어 돈없다고 외출도 안하면서,저거는 벗고 탈거냐? 자전거복 산다고 하면 또 지랄할꺼면서.. 내가 알아서 할 테니까 그냥 조용히 있어 넌
이제 담배는 끊을때야?,너가 그렇게 싫어하니까 내가 금연했다 생각하니까 이만큼 맞춰주는 줄 알아
넌 미성년자한테 담배까지 피고 잘한 짓이다,어릴 때 부터 피냄새 맡아줘야 폐가 적응을 하지 ~ 이게 다 조기교육이야
지금이 옛날도 아니고 무슨 소리야 엄마,시동생 결혼 해도 아빠 오빠 할거냐.은 서방님한테 해야지 너 그러면 어디가서 구박받아
오늘 렉서스 자동차 샀다,매국노야 한국차 두고 웬 일본차를 갖고 그래? 나 너 때문에 진짜 화났어
저 시키는 대로만 할게요,몇 대 맞으니까 말 잘듣네 안 그랬으면 서로 힘들 일 많았잖아
너 알바한다고 빠진 회의가 몇 번인지 알아?,알바 그만두면 네가 용돈 줄 거야? 아니면 그만두라고 말 하지마
난 어제 손절당했어,성희롱 당할 만 하니까 당했겠지 ㅋㅋㅋ
얘가 무슨 잘못한 지 모르겠음,너가 또 감정적으로 굴다가 그랬지 ㅋㅋㅋ 뻔하다 뻔해
오빠가 나 서운하게 하지어?,내가 니 감정 쓰레기통인지 알아? 본인 감정은 본인이 해결해야지.
무슨 그런 짓거리를 하고 그러냐 넌,이런 거 가지고 너무 심각하게 보는 너가 진짜 이상한 거 아냐?
그게 뭐가 어때서?,지들이 뭘 잘한다고 맨날 집에는 엄마가 편들어주지 밖에선 남자라고 떠받들지 그러면서 징징대는 놈들은 다 죽여야해
아니 난 오늘밤보고싶어서 그랬지..,야 니 맘대로 해 짜증나게 진짜
나는 이교가 너무 싫어,여자라면 당연히 가야 하는 거지 군대도 안가면 그게 남자냐?
잘 다녀 올게,"설리, 노무현 심부름 시킨 지가 언젠데 아직도 안 갔냐?"
왜이렇게 꾸물꾸물 거리고 있어?,아니 내가 안가고싶어서 못가게아닌데 왜 저한테 지랼이노?
좀 천천히 연기하려고 하지,너희 빨리 결혼 해 니들이 늙으면 결혼 하고 싶어도 못해
죄송합니다 제 생각보다도 일을 못했어요,아니 생각이라는 게 없어요? 이런 간단한 말도 못하면서 취직은 어떻게 하는지 몰라
시댁의 제사는 왜 며느리가해야 할까. 심지어 얼굴한번본적 없는데,야 그런건 원래 여자로 태어났으면 당연하게 하는거야? 왜 그렇게 따지고 있어
몇년 전에도 이런 짓 하다가 나한테 당했잖아,티아라 얘기가 지금 왜 나와? 다 끝난 일이잖아
넌 무슨 말을 그렇게 재수 없게 하니?,다 너 생각해서 한말인데 그렇게 비꼬아서 듣니! 너 진짜 상종 말아야 할 애구나
저 여편네가 못 하는 말이 없어!,아니 당신이 먼저 고분고분하게 굴었으면 지금까지 안그랬잖아!
너 그게 무슨말이냐?,여자들은 20대 중반만 넘어도 삭는게 딱 눈에 보이니까 관리 잘 해야해
아 내가 너무 성급한 일반화 했나보다,그러니까 내 말 들으라고 내 말은 안 맞아
난 왜 나한테만 뭐라고 하는거야,너 왜 이렇게 말을 안 해? 네 잘못이지 누구 잘못이야? 내가 그거 하지 말랬잖아?
그건 농담이 아니라 뒷담이잖아요,너같이 맞아도 다 받아주는 사람을 내가 왜 만났냐
내가 언제 그런 약속을 했다고 ㅋㅋㅋ,쳐도 안나던 기억도 날만큼 한번 맞아볼까?
누가 너 힘들까봐 청소 해 뒀어,"참 사람들 배려심도 많다, 내가 내 가수 건들지 말라한건 기억 못하지?"
기자들이 너 과거를 다 아니까 그런거지,전남친 잘못한 것 알고 결혼 해놓고 그러는 게 엿먹으라는 거냐?
관심도 없는데 용역 부르죠,이게 얼마나 된다고 돈을써 니들이 힘만 보태면 되는 일인데
말도 안되는 소리다 그건,무슨소리야 다들 이러고 있냐 혹시 정병 때문에 분간이 안가는 거야?
어떻게든 깎을려고 우는 것도 짠하다,너가 그러니까 시집 교육 못받은티가 나는거야 집안 망신은 니가 다 만드는구나
조금 실수가 있나봐요 죄송합니다.,넌 진짜 돈 계산도 못하는 놈이냐? 이런 식으로 하면 내가 니한테 알바를 어떻게 시키냐?
사장님 팔에 머리카락이 나왔어요,머리카락을 일부러 넣은건 아니시고요? 그럼 머리카락이 나올리가 없는데 너무 드시고요
넌 내가 좀 만만하게 보이면 나한테 부탁할거래?,싫으면 말지 왜 말을 그렇게해서 사람 상처를 주냐 너는.
담배 좀 펴라 뭐 대수라고 저리피냐?,누가 좋아서 피눈줄 아냐? 볼게 이거밖에 없어서 그런다
아이가 쉬는시간에 돌아다녀 다른 아이들이 집중을 못하고 있습니다 어머니,애가 저럴수도 있지 뭘 그래요 선생님이 수업을 잘 하셨으면 우리 애가 그랬을까요?
난 이런 표현 좀 불쾌하니까 안썻으면 좋겠어,너 이렇게 남일에 예민하게 굴면 너 좋다는 사람도 금방 떠나갈껄?
오빠가 그런 행동 한다는 것 자체가 나한테는 계속 상처인데 평생 사죄를 하고 케어하겠다는 말은 나한테도 위로가 안 돼,자꾸 고집부리지마 난 이런 행동 한 적이 없다니까?
그런 행동에 고치는 사람이라고 그런데 무슨 케어를 하고 케어를 하겠다는거야,내가 왜 그런 말을 했다는거야 고집부리지좀 마
너가 그런 행동을 했다는거에 난 이미 상처 받았는데 누가 케어를 해주고 위로를 해줄거야,그런 행동이 뭔데? 내가 무슨 잘못을 했다는거지 그만좀 우겨
그딴 행동을 하지 말았어야지 이제와서 뭘 바라는거야 너는,너 누가 나한테 그딴 행동이라고 한거야? 그리고 내가 도대체 뭘 믿고 그래
계속 그런식으로 행동하면서 상처 받았으면서 이제와서 평생 사죄를 하고 케어하겠다는 말은 난 전혀 위로가 안돼,내가 너 언제 그랬다고 그래. 오늘이 처음이잖아
이런 얘기를 계속 나오게 하는거 자체가 나는 마음이 괴롭고 힘들어,너가 이런 얘기하고 나대니까 이런거잖아
지금 계속 같은 얘기 되풀이하는거 나는 너무 한심하고 지친다 …,그러니까 내가 이 짓좀 그만 하자고 했어 너가 자꾸 말 꺼내지만 않으면 뭐든 해결돼
너랑 이 얘기 가지고 계속 말해야한다 하는 상황이 더 괴롭더라 난,그럼 그냥 다른 얘기하면 되는거 아니야? 뭘 너가 왜꺼내고 너가 힘들어해?
같은 말 언제까지 반복하게 할래? 그냥 닥치고 내 말 들으면 안돼? 나 참 힘들어,우기지좀마 말도 안되는 얘기 들고와서 어떻게 해주라는거야
승리랑 같은 얘기 계속 반복하는게 우리 관계에 악영향을 미치는거 같아,그러니까 이제 좀 바람 피우지 말고 그냥 하던데로 좀 해라
그동안 어떤 누구랑 잤는지. 시간이 아깝다,니가 그렇게 고집 부릴거면 이혼해
그동안 왜 너같은 놈이랑 만났는지 … 내 스스로한테 미안하다 진짜,그런식으로 굴지마 넌 뭐 잘한거 있는줄 알아? 다 똑같은 사람이야
그런 사소한 말 맘에 안들어주는 사람이랑 만나서 뭐해,사소한 부탁이니까 안들어줄수도있는거 아니야? 내가 뭐 너가 해달라는걸 다 해줘야 하는건 아니잖아 그런식으로 고집부릴거면 걍 헤어지자
저런 쓰레기하고 사귀었다니 지난 일이 생각나네,뭐래 나니까 널 만나준거지 창피한줄 알아
너한테 충분히 너무 가혹하고 그 충격적 크기가 어느정도일지.. 내가 가늠이 안된다,그래 내가 받은 충격은 잘 모르겠지 알면 그러겠어?
헐이 그런줄 몰랐어.. 충격 많이 받았구나 ㅠㅠ,니까짓게 뭘 알겠냐.. 내가 그러려니 해야지 뭐
내가 얼마나 잘못한건지 가늠도 못하겠다.. 나보다 이렇게 힘들었어?,왜 이제와서 착한척이야 그냥 하던데로 병신답게 살지해라
이 정도로 충격이었어? 내가 그렇게 잘못한거야?,너가 뭘 잘못했는지도 모르지 넌 그냥 거기서 평생 살아
미안해 내가 잘못했다 미안해 해야 용서가 될까?,그만 용서받으려고 해 너가 뭐 잘못했는지 알긴 해?
또 다른사람이 있는거야??,내가 언제 다른여자 사귄다고 그래
지금 애들이랑 같이 있는거야?,누구야 저런 여자랑 있어 나 혼자야 의심좀 그만해
이미도 있는거 아니야?,"내가 혼자 갔다왔다고 했잖아, 지금 내 말 의심해?"
오늘은또 누구랑 노는거야 여자애들이랑 친하게 지내지 말라고 했잖아,너가 언제 그랬어? 그리고 말 그대로 그냥 구속이라니까? 너 지금 구속하는거야
뭐해? 또 누구랑 있지?,아니라니까 몇 번을 말해야해 그냥 좀 둬라
자기 스스로가 나를 어떻게 얘기할지 몰라서 어제 그렇게 얘기했는데 나도 정상 아니었어,너 진짜 싫다 왜 내레이션 안 해?
그건 나도 어떻게 말해야할 지 몰라서 그런거야,그래도 그따위로 이기적 굴면 내 기분이 어떠겠어?
자기한테 어떻게 말할지 모르겠어서 그랬어 미안해,그래서 그렇게 질질 짜셨어요? 울면 다 해결된 줄 알지 아주?
어제는 내가 뭐라고 말을 확인하지도 못하고 나오는데로 뱉었어.. 제정신이 아닌가봐,김구라 막말하는게 하루이틀인가.. 니가 그렇지 뭐
그렇게까지 말하려던건 아니었지만 나도 제정신이 아니었나봐,그래 너가 제정신이 아니기는 하지..야 정신좀 차려라 언제까지 그렇게 철없이 굴거니?
정신적 물질적으로 너한테 피해준거 앞으로도 꾸준하게 진심으로 노력해서 갚을게!,너가 무슨 진심과 노력을 했다는거야? 난 전혀 모르겠는데?
너한테 피해끼쳐서 정말 미안 … 앞으로 응원할게,연기 잘하면 무슨 소용이니? 좀 일찍미리 하지 그랬어
수지야 응원할게 이번 한번만 봐주면 안될까?,너가 노력하면 뭐가 되긴 해. 너가 뭘 할수있다고 그러는거야
오빠한테 자꾸 폐끼쳐서 죄송하다 앞으로라도 잘해볼게요,잘 할 수는 있잖아? 됐어 그냥 하던 대로 사세요
미안해 내가 또 실수했다. 앞으로는 후회없이 잘할게,그러고 또 며칠있으면 실수할거 아냐 아니야?
변호사랑 자료 다 찾아라 지금 좀 바빠,그게 나보다 더 중요한 일이니? 아니잖아
지금 이현는 전화 못받는다니까?,야 넌 니이 나보다 더 중요하지. 내가 사귀라 했잖아
누나 미안.. 나 영어 수업들어요,수업이 그렇게 좋으면 그 수업이랑 사귀지 그래?
아이들이 있어서 좀 바쁜데 …,내가 바빠서 내가 시킨거 먼저 해야하는거 아니야? 언제부터 그렇게 막 대들었지.
나 가족이랑 놀러왔는데 왜?,친구만 있어도 내가 전화하면 받아야 하는거 아닌가?
누가 나한테 너 보러온다고 했다니까?,난 이런적 없다 제발 사실을 왜곡하지마
너땜에 어제 전화하면 나 보러가자 했잖아,내가 언제 그랫냐고? 너가 잘못했다하고 있어
헨리는 나 보러 온다고 말했는데 안오는거야?,내가? 한번도 그런적 없는데..?
나한테 분명히 너 보러 오겠다고 다짐했어 그거 똑똑히 기억해,그렇게 말했다고? 나 오늘 지방에 내려가야 한다고 했었잖아 기억안나냐?
우리 목요일날 출근하면서 오늘 보자고 했었잖아,목요일에? 목요일에 우리가 보기를 하긴 했어? 니가 잘못 기억하는거 아니야?
내가 안일하게 생각못한게 맞아.. 난 그게 맞지,그치 안일하게 생각했으니까 저렇게 행동했겠지 넌 항상 그렇더라
어린 너무 안일하게 굴었나봐,너가 뭘 제대로 하겠어? 됐어
맞아.. 내가 좀 안일하게 생각했네,내가 늘 말하잖아 좀 적당히 하라고 몇 번을 때려야 고칠래.
그땐 그렇게 생각했는데 이제와서 보니 너무 안일했네,그래서 내가 그때도 아닌거라고 얘기했었잖아 기억 안나나?
참 잘될거라 생각했는데 안일한 생각이었나봐,너 맨날 하는것도 없이 먹고 살았는데 뭐가 힘들겠어
힘들고 지친다 진짜 제발 아니길,다 너 잘되라 하는 소리잖아. 그걸 그렇게 받아들이면 안돼
제발 그만좀해 … 나같아도 힘들어서 죽을거같아,야 내가 누구 좋으라고 이래 ~ 다 너 잘됬으면 좋겠어 그래서 그런거잖아
나 진짜 더 하면 쓰러질거같아,그정도 갖고 안쓰러져 그리고 너 고소 사과 안 하고 있거든?
이제 그만했으면 좋겠어 나도 알아서 잘 해볼게,내가 결혼 못하니까 내가 이러는거잖아 알아서 어련히 잘 하겠지 이렇게까지 말 안해
이해해 나도 아니까.이 몰라서 이러는거 아니잖아,모르는 것도 아니면서 그런다고? 그게 더 나쁜거야
오빠는 왜 그렇게 자꾸만 몰아붙여..?,사랑해서 그랬는데 … 큰 잘못은 아니지
날 도와준다고 했으면서 왜 날 힘들게 하는거야,더나가려면 힘든건 당연하지만 내가 너 사랑하니까 한거잖아
널 항상 날 사랑하는 곳으로 이끌어줘,당연하지 내 말이 딱 맞아 그러니까 걱정하지마
자기 덕분에 내가 이렇게 좋은 사람이 될 수 있었어,그치 나니까 널 이만큼 나오게 만든거야
분명히 인정하고 사과했으면서 또 인정 안하네?,너나 좀 너가 잘못한걸 인정해 맨날 내가 다 잘못했다고만 하잖아
잘못한게 있으면 인정하고 인정해,그게 다 내잘못인데 너가 날 화나게 만들어서 그런거잖아
누나가 잘못한거는 왜 인정을 못해?,야 나만 잘못했냐? 너가 왜 나한테 대쉬 해서 그런거지
우리 미안한건 미안하다 사과하고 넘어가라,난 너한테 미안할 일 한적 없는데? 나한테 뭐 꿀리는거 있어?
저번에도 이랬으면서 왜 자꾸 같은 잘못 반복해?,내가 무슨 잘못했다고 그리고 너 말하는 태도가 왜그래. 또 사람 화나게 할래?
피검사 해서 더 정확해질 수 있다고 믿고 싶었던 거 같아,그 전에 사과부터 해봐 못믿어서 그랬다잖아
그래도 정확하게 검사하려면 검사검도 받아야할 것 같았어,결국 나 못믿었다는 소리 아닌가?
피뎁 받아야 진실이 뭔지 정확히 알 수 있을거라고 믿었어,그러니까 넌 마약 못 믿고 검사받았다는 거네?
너가 내 말이 진심인지 하는 의구심이 들어,내가 헷갈리게 했어? 너만 아는 착각 아니야?
너가 한 말들은 다 진심으로 하는건지 모르겠어,승리가 범죄를 의심스럽게 한것도 아닌데 뭘 그렇게 예민하게 굴지
진짜야? 또 거짓말하는거 아니지.,내가 너한테 거짓말하고 있어? 없잖아 진짜 넌 왜그래?
내가 한 말 다 이해한거 맞지?,야 내가 뭐 못 알아들을 사람이야? 좀 똑바로 말해
자꾸 그렇게 얼버치니까 내가 더 의심하는 거잖아,얘가 언제 얼버무렸다고ㅋㅋ 난 충격적인데
큰소리 치게하고 창피하게 만든거 미안해,내가 매번 말하지만 너만 아니면 난 그럴 일 없다니까.
있는 그대로 너만 기억하고 있어,저게 사랑하는 사람 태도야?
항상 너가 있는 그대로 사랑할게,날 진짜 사랑하긴 해? 내가 내 얘기도 안들어주겠다
너만 평생 사랑해 다른 사람은 처돌도 안볼거야,그러고 또 길가다가 예쁜 사람 있으면 슬쩍 넘어가겠지 뭐..
알았잖아 나 너밖에 없는거,전 여자친구랑 똑같이 말했을거면서 나보고 그 말 믿으라고 ~
너 분명히 어제 인터뷰할때 나혼자 온다고 했잖아,감당 안 돼면 하지 말라니까?
감당할수있지도 않 않을까싶어,감당도 못하는 걸 왜 결혼을 하려고 해.
내가 어떻게든 고소해볼게 용서해줘,너 감당 못한다니까? 니가 뭐라도 되는지 알아?
뭐든지 말해줘 내가 감당할수 있는 만큼만 하고 싶어,그래 내가 알아서 할거니까 넌 그냥 닥치고 있어 그게 도와주는거야
날짜는 정리를 해봤는데 정확히 오빠를 만나고 나서는 그런 증세가 있어서 물어봤어요,니가 나 말고 다른 여자 만나본 건 아니고?
제주도에 가다가 오빠 만난 뒤로 증세가 있는거 같아서 안타깝다,지금 누가 성병있다고 의심이라도 하는거니?
오빠 때문이라는 건 아닌데 그래도 혹시 누굴까 물어보는거야,아니긴 뭐가 아니야 내가 의심되니까 그런 질문 하는거겠지
오빠도 얼른 병원 다녀오 ㅠㅠ 혹시 모르잖아,그래 내가 그렇게 멀쩡했다고 했지 너한테만 문제 있는거라고
내가 나도 자기 안 챙기던데 누구챙긴다고 설치는건지 반성할게.,당연히 반성해야 하는 거 잖아 사과 좀 하지마
저희 누가 누굴 위한다고..,그래 니 분수를 알아야지
난 재밌게 봤는데,그건 너가 널 좋아하지 못해서 그런거 아니야.
강다니엘 너한테 진짜 더 좋을건 없어,난 뭐 너한테 엄청 바라는것처럼 말한다? 내가 너한테 뭐 거창한거 해달라 한거냐
엄마는 너한테 바라는거 없이 그냥 잘 자라줬으면 좋겠어요,내 연애에 좀 참견하려고 그러지 마요
선생님이 니가 뭘 바라고 이러는 줄 아니.,교사이면 선생들 교육이나 잘 하세요 남의 사생활에 대해 관여하지 마시라고요
정말 나한테 바라는게 없어.,"바라는게 있다고 하는데 니가 뭐 보여줄돈은 있고, 능력도 안되면서 뭘"
나 자꾸 이 생각 들어,나보고 어쩌라고 니가 알아서 해결해 내가 니 보모냐?
나같음 죽여버릴걸?,뒤지든 말든 내 알바야.한테 연락 하지 말랬잖아 그만 좀 해
여보가 자꾸 혼내는 하면 자꾸 안 좋은 생각을 하게되는거 같아,지금 내 탓이라는거야. 그러니까 좀 내 말 잘 들었으면 좋겠다
내가 그렇게 잘못한 것도 아닌데 왜 그래?,진짜 미쳤구나? 너가 지금 뭘 한건지 몰라서 그러냐?
그 일 때문에 자꾸 욕먹는네,나였으면 아무렇지도 않았을텐데 왜 그렇게 예민하게 굴지. 틀린말 아니잖아
너도 그렇지? 미안해 너무 의존적이했어,미안하다고? 미안한 말이 뭔 줄은 알아? 넌 항상 이딴식이잖아
그래도 너가 있어 다행이다. 힘들게 해서 안돼요,너 자꾸 힘들때마다 남 찾는거 안 좋은 버릇이라고 했잖아 어른이 넌 좀 혼자서 해결할 줄 도 알아
미안해 내가 너한테 멋대로 굴어서,미안하면 지가 고치던가 맨날 똑같으면서 미안하긴 뭐가 미안해
니가 또 잘못해서 미안해,미안하면 말만 하지말고 좀 행동을 보여봐 왜 이딴식이냐
내가 용서할게 용서해줘,너같은 년은 니랑 똑같은 사람이랑 놀아봐야 정신 차리지
오빠가 전화할게,마지막이다 저 병신같은게 끝까지 피하네
내가 이따가로 전화할게,내가 받을라 했지? 너 안받으면 오늘 우리 헤어질줄 알아
지금 전화 못받는다 좀 기다려,뭐하는데? 저런년이랑 있어? 누가 전화걸면 전화바로 받으라고 했잖아
좀만 기다려봐 진짜 바빠서 그런가,그냥 좋은 말로 하면 안 듣나보네 가만히 보니깐
나 진짜 김현주 너무 바빠ㅠㅠ,바쁘긴 뭘 바빠 저번에 인터뷰 보니까 놀고있었으면서 자꾸 바쁜거 같은데 왜?
안바쁘면 너 보러 갔지? 근데 할 일이 너무 없잖아,또 일 핑계대고 나 안보는거잖아 연애 초반에는 안그랬는데 점점 망가지는거 같아
두주만 기다려줘 일 호다닥 끝내고 갈께!,나보고 두시간이라도 더 기다리라는거야? 아 싫으면 그냥 보지마 안그래도 기분 나쁜데 알바들 때문에 더 상했어
나랑 약속 있어,내일 몸 안 다치고 약속을해. 나랑 약속하면 더 좋을 거 아니야?
나 내일 학원 친구만나러 가기로 했는데,내가 걔 괴롭히지 말라고 하니까 자꾸 내 욕한다며 보지 말자
나 내일은 떡볶이 옆으로 가기시작 해서 좀 늦게 올거같아,지금 겨우 떡볶이로 늦겠다는거야? 보는 내 마음은 생각 안해.
모레는 아는 분 둘이 있어서 다녀와야겠다,나한테 그런 얘기 안했었잖아. 결혼식 간다고 하고 다른데 갔다는거지 솔직히 말해 너
이미 오래전부터 결혼던음,선 넘지 말라고 분명히 이야기 했지? 정신 챙기라고 진지하게 힘들다고 그만하고 싶다
아무도 안믿어 나 혼자산다,지금 기분 나쁘거든. 사진 찍어 보내지마
자기가 오해하는거야 아니면 진짜 집에서 공부할거야,연예인들 거짓말하는게 한두번이냐? 사진 찍어서 인증할때까지 안 믿어
왜 나 왔어? 내가 친구랑 카페왔다고 했잖아,누가 여자랑 갔는지 남자랑 갔는지 내가 어떻게 아냐고 전화 받으라고 했어 ㅡㅡ
괜한 말로 스트레스줄까봐 말 경솔하게 굴어,너 맨날 아프다는 말 말고는 안하더라 하긴 뭐 내가 안중에 있긴하나
허당이 말로 기분상하게 할까봐 그랬어,내가 묻던 말에 바로 대답하고 넌 아무말도 안해버리면 대화가 성립이 안되잖아
괜히 너 화나게 할까봐 그랬지,난 지금 니 태도에 더 화가 난다
일부러 저러는거 아니야..,사재기가 아니면 괜찮아. 나한테 상처줬으면서 당당하게 군다 너.
누가 나한테 들이키는데?,연인이면 집 청소 정도는 같이 할 수 있는거 아니야?
얘는 지금 뭐하는거야?,우리 사이에 이정도는 당연한거 아니야.
나한테 뭐 맏겨둔 돈이라도 생긴 것처럼 말한다.,좋은 연인들 다면 다 돕고 사는거야.
누가 갚을 건지 말하고 빌려가,야 내가 못갚을거 같아? 꼭 갚는다니까? 사람이 말하면 좀 믿어봐
원래 다 그런 거라고?,네가 아직 어려서 잘 못해서 그래
뭐가 지금 맞는거야?,원래 그래 뭘 잘 모르는거지
방금 아버님한테 전화왔습니다,아버님한테 이야기 했어? 씨발 내가 그런말 하지 말랬는데
아빠랑 방금 통화했어,너혼자 알아서 한다고 가만히 있으라고 했잖아 엄한 사람 ㅂㅅ만들어?
부모님께 다 말씀들렸어,일좀 벌리지 말라며 왜 또 그래 진짜 사람 미치는 꼴 보고 싶어서 그러는거야?
이 아이는 수업 시간에 공부하지 않아서 성적이 좋지 않네요,저희가 그렇다고요? 집에서는 가만히 책을 읽는 앤데 모를리가요
수업시간에 자꾸 집중못하고 딴 짓 하는 모습이 안타까움,어린 애들이 좀 집중도 못하고 그럴수도 있는거지 뭘 그래요
수업시간에 일어나서 돌아다니니 다른 아이들까지 집중을 못하게 하지,그런건 선생님이 알아서 하셔야 하는거 아닌가요? 나랏돈 받고 일하면 사람값을 하셔야죠
아이의 성적이 개선되지 않으면 향후 학업에 어려움을 겪을 수 있다.,그럴 일 없어요. 저희 아이는 똑똑하거든요? 문제는 학교에서 뭔가 잘못 가르치는 게 아닐까요?
어머니의 성적은 개선되지만 향후 학업을 하는데에 재능을 쏟을 수도 있습니다,우리 애가요? 학교에서 잘못 가르치니까 그런거지 애가 무슨 잘못이라고 그래요
이대로가면 나중에 국어 수업을 따라가는데 어려움을 겪게될것 같습니다,이런 걸그룹는 선생님도 있는거 아닌가요? 알아서 잘 가르치던데
아이가 숙제를 안 하면서 성적이 나오지 않아요.,그럴 수 없어요 ~ 우리 아이는 숙제를 잘 하는 편이에요 ~ 교사님의 평가가 잘못된거 아니에요?
아이들 숙제를 열심히 해 올 수 있도록 가정에서 지도 부탁드립니다,아이가 보기 싫으면 그럴수도 있죠 왜 숙제를 강요해 건가요?
아이의 숙제가 궁금하여 걱정됩니다.,숙제좀 못할수도있지 뭘 그렇게 유난을 떠세요
그리고 아이가 수업 시간에 다른 학생들과 대화하지 않아요.,학생들과 대화하지 않는 건 아닐 거에요. 아이가 다른 아이들에게 안 좋은 영향을 받아서 그래요
아이가 다른 친구들과는 잘 크지 못하고 있네요.,그러면 셋이 조율해서 친하게 지내야 하는거 아닌가요?
연기에 더 신경을 써야 해요 ~,아이가 이미 열심히 하고 있는데 무슨 말씀이세요? 부모가 제대로 지도해주지 못해서 그럴지도 모릅니다.
아이가 수업 때 집중하지 않으면 학습능력이 없을 수 있어요.,우리 아이가 집중력이 없다는 건 아닐 거예요. 선생님이 수업할때 재미없게 봐서 그런거겠죠.
영어 수업을 집중 못한다면 점점 다른아이들과 수준 차이가 나게 될 겁니다.,아이가 집중을 못하면 몰입할 수 있게 해주셔야죠 아이탓 할 것이 아니라
너 어제 왜 오늘 어제까지 집에 안 왔어.,나? 어제는 친구들과 갑자기 만나서 웃다가 다시 집에 왔지. 미안하다. 나는 너가 널 이해해줄 거라곤 얘기 안 했어
너 어제 왜 연락이 없이 잤어?,나 어제 친구들 보라고 했잖아? 내 말 기억 못한거야? 친구들이랑 술좀 먹고 하다보면 좀 잠들수도 있지 왜 뭐라해
왜 그렇게 자꾸 연락 없이 사람들 만나고 다닐거야?,내가 뭐 너한테 몇시에 누구 만난다고 보고해야 하는것도 아니잖아 집착좀 하지마
그렇게 연락하면 내가 따라다니면서 보답할 건 왜 못해?,누가 걱정하래. 나 알아서 잘 다니는데 왜 걱정을 해
